NOM_FORET,burned_buffer_m2,burned_core_m2,date,month,year
Wari-Maro,0,0,4/1/09,4,2009
Wari-Maro,0,0,5/1/09,5,2009
Wari-Maro,0,0,6/1/09,6,2009
Wari-Maro,0,0,7/1/09,7,2009
Wari-Maro,0,0,8/1/09,8,2009
Wari-Maro,0,0,9/1/09,9,2009
Wari-Maro,0.497920953,0.248963219,10/1/09,10,2009
Wari-Maro,84.4887903,42.28564183,11/1/09,11,2009
Wari-Maro,261.3348533,371.7585362,12/1/09,12,2009
Wari-Maro,30.62429604,14.41848875,1/1/10,1,2010
Wari-Maro,5.726114281,1.493786047,2/1/10,2,2010
Wari-Maro,0,0,3/1/10,3,2010
Wari-Maro,0,0,4/1/10,4,2010
Wari-Maro,0,0,5/1/10,5,2010
Wari-Maro,0,0,6/1/10,6,2010
Wari-Maro,0,0,7/1/10,7,2010
Wari-Maro,0,0,8/1/10,8,2010
Wari-Maro,0,0,9/1/10,9,2010
Wari-Maro,0,0,10/1/10,10,2010
Wari-Maro,2.738576313,5.726164547,11/1/10,11,2010
Wari-Maro,256.0402326,327.896674,12/1/10,12,2010
Wari-Maro,49.44474117,26.43209716,1/1/11,1,2011
Wari-Maro,30.57767707,9.374721081,2/1/11,2,2011
Wari-Maro,0,0,3/1/11,3,2011
Wari-Maro,0,0,4/1/11,4,2011
Wari-Maro,0,0,5/1/11,5,2011
Wari-Maro,0,0,6/1/11,6,2011
Wari-Maro,0,0,7/1/11,7,2011
Wari-Maro,0,0,8/1/11,8,2011
Wari-Maro,0,0,9/1/11,9,2011
Wari-Maro,0,0,10/1/11,10,2011
Wari-Maro,7.219862641,4.979255109,11/1/11,11,2011
Wari-Maro,264.6201265,208.7507319,12/1/11,12,2011
Wari-Maro,15.49030561,13.89804276,1/1/12,1,2012
Wari-Maro,46.32973019,34.73997066,2/1/12,2,2012
Wari-Maro,0,0,3/1/12,3,2012
Wari-Maro,0,0,4/1/12,4,2012
Wari-Maro,0,0,5/1/12,5,2012
Wari-Maro,0,0,6/1/12,6,2012
Wari-Maro,0,0,7/1/12,7,2012
Wari-Maro,0,0,8/1/12,8,2012
Wari-Maro,0,0,9/1/12,9,2012
Wari-Maro,0,0,10/1/12,10,2012
Wari-Maro,0.746882094,0.746889344,11/1/12,11,2012
Wari-Maro,214.3201256,216.1285935,12/1/12,12,2012
Wari-Maro,149.7210468,89.38133285,1/1/13,1,2013
Wari-Maro,7.337087992,32.68477306,2/1/13,2,2013
Wari-Maro,0,0,3/1/13,3,2013
Wari-Maro,0,0,4/1/13,4,2013
Wari-Maro,0,0,5/1/13,5,2013
Wari-Maro,0,0,6/1/13,6,2013
Wari-Maro,0,0,7/1/13,7,2013
Wari-Maro,0,0,8/1/13,8,2013
Wari-Maro,0,0,9/1/13,9,2013
Wari-Maro,0,0,10/1/13,10,2013
Wari-Maro,2.489616406,4.232366078,11/1/13,11,2013
Wari-Maro,215.6254972,220.0475955,12/1/13,12,2013
Wari-Maro,45.76992885,26.52293393,1/1/14,1,2014
Wari-Maro,16.43152181,0,2/1/14,2,2014
Wari-Maro,0,0,3/1/14,3,2014
Wari-Maro,0,0,4/1/14,4,2014
Wari-Maro,0,0,5/1/14,5,2014
Wari-Maro,0,0,6/1/14,6,2014
Wari-Maro,0,0,7/1/14,7,2014
Wari-Maro,0,0,8/1/14,8,2014
Wari-Maro,0,0,9/1/14,9,2014
Wari-Maro,0,0,10/1/14,10,2014
Wari-Maro,0.248961469,1.493774453,11/1/14,11,2014
Wari-Maro,142.232683,120.9594282,12/1/14,12,2014
Wari-Maro,14.70631722,8.713748984,1/1/15,1,2015
Wari-Maro,3.330260377,5.726182297,2/1/15,2,2015
